2023-06-13 13:00:00,Countries with Richest History Part 1 #shorts
2023-06-13 21:00:00,Military Rankings 1300s Part 1 #history #shorts 
2023-06-14 13:00:00,Military Rankings 1300s Part 2 #history #shorts 
2023-06-14 21:00:00,Military Rankings 1300s #shorts 
2023-06-15 13:00:00,Military Rankings 1400sPart 1 
2023-06-16 21:00:00,Military Rankings 1600s
2023-06-17 08:00:00,Military Rankings 1700s #history
2023-06-17 19:00:00,Countries with Impenetrable Castles #history
2023-06-18 08:00:00,Military Rankings 1800s #history
2023-06-18 19:00:00,Military Rankings 1900s
2023-06-19 19:00:00,Military Rankings 2023
2023-06-20 08:00:00,Biggest Enemies of Russia Throughout History #russia #war
2023-06-20 19:00:00,Biggest Enemies of Turkey Throughout History #history #turkey
